"workflow","process","task_hash","a_MB","c_MB","M_MB"
"bowtie2_audit_nf","ALIGN_CHUNK","12879314f39808f5550d818b3f087f20","59.4","50.83223533630371","93.9"
"bowtie2_audit_nf","ALIGN_CHUNK","128d7e13e272b29f10a64d3029f4700e","58.8","49.972283363342285","91.8"
"bowtie2_audit_nf","ALIGN_CHUNK","12b6c434d101f152eafadddb794cbdd9","35.3","41.5531702041626","67.5"
"bowtie2_audit_nf","ALIGN_CHUNK","12de82b3e22c725060ed3a9bdf94b535","63.7","52.30587291717529","94.6"
"bowtie2_audit_nf","ALIGN_CHUNK","1307a64b13e264423d09f13fad2dec26","63.6","51.517701148986816","94.4"
"bowtie2_audit_nf","ALIGN_CHUNK","135fe7bbdcbf3eb5f7a6fdc40c502836","63.7","54.38174247741699","94.0"
"bowtie2_audit_nf","ALIGN_CHUNK","136d45bce488a4d4d28d7dd074090f0e","57.9","51.38034725189209","91.0"
"bowtie2_audit_nf","ALIGN_CHUNK","13994f07056c124ca5afbdfd06e73ada","63.8","52.260247230529785","96.5"
"bowtie2_audit_nf","ALIGN_CHUNK","13e3ec780eb790b4f794a4a0f8ec3a87","64.6","52.70076370239258","94.4"
"bowtie2_audit_nf","ALIGN_CHUNK","1403b8c5b4637166cff2800605f999c4","63.7","52.4203462600708","100.8"
"bowtie2_audit_nf","ALIGN_CHUNK","14b18a6c8c7e95dc53f118f9d8d454a5","62.6","51.938326835632324","96.8"
"bowtie2_audit_nf","ALIGN_CHUNK","150ccebec695494e93665e748bd17216","58.9","50.48165798187256","93.0"
"bowtie2_audit_nf","ALIGN_CHUNK","1520ed9ff1d2f2dc06bfaa84cf74d75b","63.0","51.57704734802246","94.2"
"bowtie2_audit_nf","ALIGN_CHUNK","156f55a936c46e0cfdee1074b60614d0","63.8","52.215455055236816","90.8"
"bowtie2_audit_nf","ALIGN_CHUNK","15d3b6133e991eea6c853ba1f54216a9","63.3","51.82936382293701","97.3"
"bowtie2_audit_nf","ALIGN_CHUNK","160867c0d7cf24a6573e45775c0bd80b","62.7","50.213186264038086","95.6"
"bowtie2_audit_nf","ALIGN_CHUNK","1654d2ba35cf6f8c1ebf9a4923841288","62.6","50.90763473510742","94.6"
"bowtie2_audit_nf","ALIGN_CHUNK","1655f8c0ed3acd8062be9979809f1b1f","62.9","52.86139106750488","96.0"
"bowtie2_audit_nf","ALIGN_CHUNK","165f4cdc09e5283dd02eb64485303f9c","35.2","36.970173835754395","71.6"
"bowtie2_audit_nf","ALIGN_CHUNK","16a2962add2259b187b363413ae454b1","62.2","51.58676719665527","95.2"
"bowtie2_audit_nf","ALIGN_CHUNK","16e68546691fa71c3e2c6d67f8dd3898","62.1","51.71916103363037","97.2"
"bowtie2_audit_nf","ALIGN_CHUNK","16fd3ea9aac6394570672fac506fbb6f","30.5","32.58481216430664","65.9"
"bowtie2_audit_nf","ALIGN_CHUNK","1754d7de5af42e8956f6cf9afbf7e0ea","62.4","51.531803131103516","96.6"
"bowtie2_audit_nf","ALIGN_CHUNK","1795d3b4468ef6409bdb31fd629bb943","59.8","51.235694885253906","92.7"
"bowtie2_audit_nf","ALIGN_CHUNK","17cbfb76d2cf4ac43b4ef0990d0a60cc","56.5","52.73930740356445","91.1"
"bowtie2_audit_nf","ALIGN_CHUNK","17ee5087fa55ac8e39f7fa6f64aaf522","62.6","51.05113887786865","96.7"
"bowtie2_audit_nf","ALIGN_CHUNK","17f7b08c42860793b8edc371259b846c","63.6","54.82324695587158","95.2"
"bowtie2_audit_nf","ALIGN_CHUNK","189bd8fd6bba2f84b35f394ac2349169","62.7","51.220340728759766","94.6"
"bowtie2_audit_nf","ALIGN_CHUNK","18cce25f7c019d2f9654284d234a6c0d","63.2","51.74978065490723","97.3"
"bowtie2_audit_nf","ALIGN_CHUNK","1933e720ddcfdf9849b9f0b413f12859","63.9","50.419389724731445","95.4"
"bowtie2_audit_nf","ALIGN_CHUNK","1961e2542f93197517e1af57ee8c6938","57.1","50.426292419433594","89.8"
"bowtie2_audit_nf","ALIGN_CHUNK","199ce88aa2d2fdf5203c6065dd8bf601","63.2","54.241766929626465","96.8"
"bowtie2_audit_nf","ALIGN_CHUNK","19edf397bdf2c1bdb15cab8e6b971784","63.0","52.94624614715576","96.1"
"bowtie2_audit_nf","ALIGN_CHUNK","1a04ccc949eddb801b9390a4676e2991","59.1","50.513184547424316","92.7"
"bowtie2_audit_nf","ALIGN_CHUNK","1aaadc93dae169c1907ccdc7b5003207","62.9","50.92583179473877","94.3"
"bowtie2_audit_nf","ALIGN_CHUNK","1ad44f4306639283d362a03bb6511f73","63.2","50.26638603210449","96.2"
"bowtie2_audit_nf","ALIGN_CHUNK","1b472752499239402e7b4079f26f8ed1","64.3","54.15922451019287","94.3"
"bowtie2_audit_nf","ALIGN_CHUNK","1bc542949873c674741aef3b2985d9c2","57.0","50.22940540313721","87.1"
"bowtie2_audit_nf","ALIGN_CHUNK","1bd38f034dd460c59f33dd19064f5f18","62.5","51.33059310913086","93.8"
"bowtie2_audit_nf","ALIGN_CHUNK","1bd6a4a3069484fcbf8776fd58b58c4c","62.7","53.92622089385986","96.3"
"bowtie2_audit_nf","ALIGN_CHUNK","1bdb22c823186bb15e6105eb3708e3a5","35.0","38.292683601379395","70.3"
"bowtie2_audit_nf","ALIGN_CHUNK","1c1b0373414f4f98c9613a312d1df4a1","63.7","52.10211753845215","95.2"
"bowtie2_audit_nf","ALIGN_CHUNK","1c48bcc779760f9fce48397c911b9265","63.0","51.996331214904785","93.9"
"bowtie2_audit_nf","ALIGN_CHUNK","1c86aa7d51e5721375625836f114ef9d","62.9","51.2119026184082","93.7"
"bowtie2_audit_nf","ALIGN_CHUNK","1cbc3a28d9109ee38c538fcce3b66296","63.8","55.10400390625","97.3"
"bowtie2_audit_nf","ALIGN_CHUNK","1d17110fbb49563c19b944ad09e974f9","63.4","52.0820255279541","95.8"
"bowtie2_audit_nf","ALIGN_CHUNK","1d5ae3a728e690e346b9d20032882499","59.4","50.42398452758789","91.9"
"bowtie2_audit_nf","ALIGN_CHUNK","1e04bbb8a0b1a648cfac8856933da4b6","62.2","50.87361717224121","96.9"
"bowtie2_audit_nf","ALIGN_CHUNK","1e1b0b758d82842baa4a588380df76c4","59.6","51.23158645629883","93.8"
"bowtie2_audit_nf","ALIGN_CHUNK","1e8d6239d4cbf19354405992ebf527e1","63.7","52.19465732574463","94.7"
"bowtie2_audit_nf","ALIGN_CHUNK","1f12a1cf25986c0403b6d2e7e9898093","63.4","51.942626953125","93.8"
"bowtie2_audit_nf","ALIGN_CHUNK","1f7af8f6193f48517e8eff28b5bd0995","62.2","52.01434135437012","95.9"
"bowtie2_audit_nf","ALIGN_CHUNK","1f9d106d0933f477bfb13b367a5c9b68","63.5","51.786484718322754","93.5"
"bowtie2_audit_nf","ALIGN_CHUNK","1fdb6d4913a5a0e3dfa88b96cc526748","63.2","51.805535316467285","91.6"
"bowtie2_audit_nf","ALIGN_CHUNK","1fe635e6ad9381207e8081a267b512e6","35.3","38.13932418823242","70.4"
"bowtie2_audit_nf","ALIGN_CHUNK","1fe7fb9cfb4aa4ef6f2b1db3dc00bf85","35.4","38.28136348724365","70.1"
"bowtie2_audit_nf","ALIGN_CHUNK","2016d7820b11c09c8bae3dd5439960ef","63.0","51.54349327087402","94.1"
"bowtie2_audit_nf","ALIGN_CHUNK","202d07cd5151e2a038812efea08de962","57.4","50.84058856964111","88.4"
"bowtie2_audit_nf","ALIGN_CHUNK","2096a580c063918496d190ef005ee1e1","56.5","50.23907470703125","89.7"
"bowtie2_audit_nf","ALIGN_CHUNK","20ac69980a470c228ad49ae55819affa","30.3","32.52737998962402","65.6"
"bowtie2_audit_nf","ALIGN_CHUNK","20e79e9416d1207edb64597329e26dbf","63.8","55.12769603729248","95.9"
"bowtie2_audit_nf","ALIGN_CHUNK","217efacd36d7d0ba3ab6f5c147b15dfb","30.3","32.58059501647949","64.5"
"bowtie2_audit_nf","ALIGN_CHUNK","21873484da1beecb02f672a4702eab75","64.3","52.73275375366211","96.2"
"bowtie2_audit_nf","ALIGN_CHUNK","21cd034a5f2ebcbdc873ffdae317f956","62.1","50.12085247039795","96.7"
"bowtie2_audit_nf","ALIGN_CHUNK","21ff7f18a969d5e72b374ec6c56b0feb","63.8","51.54152202606201","94.0"
"bowtie2_audit_nf","ALIGN_CHUNK","2212a7b5bc12decd2a9dd7786b15b487","64.5","55.58389663696289","93.1"
"bowtie2_audit_nf","ALIGN_CHUNK","2230971b8264362948814ae3197aeae0","63.1","51.67928218841553","91.3"
"bowtie2_audit_nf","ALIGN_CHUNK","238a641a3410938d0f6e76011bbdecca","63.7","52.018555641174316","91.6"
"bowtie2_audit_nf","ALIGN_CHUNK","23a8340cfefe21c30931c1a044e43c25","63.0","50.73216247558594","95.2"
"bowtie2_audit_nf","ALIGN_CHUNK","23d9ee205fa6dbccd886edbebc1724a9","63.1","51.919766426086426","96.4"
"bowtie2_audit_nf","ALIGN_CHUNK","23e1298c6cd98ed28ffbacd46ded9192","62.8","51.38777828216553","92.4"
"bowtie2_audit_nf","ALIGN_CHUNK","24190d2fd51f3089e569c2ef0d189812","63.4","52.106014251708984","97.0"
"bowtie2_audit_nf","ALIGN_CHUNK","252437453d84b5468a79effccc5b881d","63.1","50.121459007263184","96.4"
"bowtie2_audit_nf","ALIGN_CHUNK","2554dbae07ae7b3497bd86f42f0b082e","63.4","51.417306900024414","94.7"
"bowtie2_audit_nf","ALIGN_CHUNK","257c8abaa21d23848578e84477264cb0","30.3","32.53223896026611","66.8"
"bowtie2_audit_nf","ALIGN_CHUNK","259a7ca4af2c1458f95457728596ce1c","35.1","40.866920471191406","69.1"
"bowtie2_audit_nf","ALIGN_CHUNK","25a22fe0fdaa3d7a803eba956b09b51b","56.5","52.60990333557129","90.5"
"bowtie2_audit_nf","ALIGN_CHUNK","25ad28a1dd719106df8fb7d2aaafc616","63.3","52.09489631652832","93.2"
"bowtie2_audit_nf","ALIGN_CHUNK","25da595bd28fd6e2e6652e6df1bb6eb7","63.5","50.83329200744629","94.0"
"bowtie2_audit_nf","ALIGN_CHUNK","26d2c1bed09918dd982a47b1f128fdf8","63.7","54.32483768463135","95.4"
"bowtie2_audit_nf","ALIGN_CHUNK","27161b45266f86f3867ca5eab3fa09cc","62.8","51.05000305175781","93.9"
"bowtie2_audit_nf","ALIGN_CHUNK","2754147c98f1a4f3c0edc8cb0fd5da40","63.6","52.076972007751465","95.0"
"bowtie2_audit_nf","ALIGN_CHUNK","2775bdd07604616665dfbab048e317e3","35.5","38.3242769241333","70.0"
"bowtie2_audit_nf","ALIGN_CHUNK","2785cbaa6c3093196a066a3fa331e7f2","63.6","51.31313610076904","95.9"
"bowtie2_audit_nf","ALIGN_CHUNK","27c773b8b9a718c6c27d772ebad9f0f6","63.8","52.73084735870361","95.7"
"bowtie2_audit_nf","ALIGN_CHUNK","281251b9a4c16c3e39b2982db1d785c3","30.7","32.8572473526001","67.0"
"bowtie2_audit_nf","ALIGN_CHUNK","281c5a8c31267ec45bd62ab448fecc21","59.4","51.094200134277344","91.8"
"bowtie2_audit_nf","ALIGN_CHUNK","28aa41814c1018c522209f7177476edd","63.6","51.94755554199219","93.0"
"bowtie2_audit_nf","ALIGN_CHUNK","28d1aec446647b9ffb556effe6e10969","56.9","50.19878959655762","90.3"
"bowtie2_audit_nf","ALIGN_CHUNK","296ff005988272b99145b85be6c57fe8","64.1","55.33150672912598","96.1"
"bowtie2_audit_nf","ALIGN_CHUNK","297f57bab7592a104a4314149877eb27","62.6","51.17385768890381","95.8"
"bowtie2_audit_nf","ALIGN_CHUNK","299ea77b8a920d442ea60bc3cfbef48a","63.9","52.299941062927246","93.7"
"bowtie2_audit_nf","ALIGN_CHUNK","2aa2e1c01c35c2da6b1917e00e7cfaa5","62.9","51.419257164001465","94.6"
"bowtie2_audit_nf","ALIGN_CHUNK","2b3afa982fa2198afa7b0e839551a0b9","62.6","51.45316028594971","96.0"
"bowtie2_audit_nf","ALIGN_CHUNK","2b7484a32820ed2edd798a70e463a1be","57.5","51.06986427307129","90.0"
"bowtie2_audit_nf","ALIGN_CHUNK","2bbb885fa7595f5b33e66e1d1559066d","62.3","51.38152885437012","97.8"
"bowtie2_audit_nf","ALIGN_CHUNK","2bbfa5132c9e551a749a32fe698b973b","62.7","50.26501655578613","97.1"
"bowtie2_audit_nf","ALIGN_CHUNK","2bd4ae56ce049c9584f4a0d24942b566","62.4","51.01880931854248","95.0"
"bowtie2_audit_nf","ALIGN_CHUNK","2befbb575fea2c1594a9420428ec5ee2","62.8","51.56515979766846","95.8"
"bowtie2_audit_nf","ALIGN_CHUNK","2c5089c54afe3caf02fb7a1c5c20a82f","63.0","52.505775451660156","95.5"
"bowtie2_audit_nf","ALIGN_CHUNK","2cd81bb6479ef5da287b202172466762","61.9","51.67427444458008","91.6"
"bowtie2_audit_nf","ALIGN_CHUNK","2ce651e46c7630f43935f4e35ce49c86","35.5","37.22802257537842","71.0"
"bowtie2_audit_nf","ALIGN_CHUNK","2cee614a5cddd3b1a5d244bde5cd2df8","35.3","38.241546630859375","73.4"
"bowtie2_audit_nf","ALIGN_CHUNK","2cf7d18037714e8b6e9b25684705b852","56.9","49.99838829040527","92.2"
"bowtie2_audit_nf","ALIGN_CHUNK","2d6051a88a7cb16fdb5a587fe64ba775","57.1","50.621171951293945","90.0"
"bowtie2_audit_nf","ALIGN_CHUNK","2d8ecb86f5fcc1543349606488620e72","62.7","51.734947204589844","96.1"
"bowtie2_audit_nf","ALIGN_CHUNK","2dd87be597a6cd59c9210039ed51f653","56.4","50.71503925323486","89.1"
"bowtie2_audit_nf","ALIGN_CHUNK","2e5585fb9810fe24bc54ac0b8469f96f","63.8","55.080702781677246","93.2"
"bowtie2_audit_nf","ALIGN_CHUNK","2e7aec64db9544bf2addb7d035963ddd","63.6","50.83168125152588","97.7"
"bowtie2_audit_nf","ALIGN_CHUNK","2eb3586e3625ed59c7848e3c45051979","63.4","51.71979331970215","95.2"
"bowtie2_audit_nf","ALIGN_CHUNK","2eeabcb8baca4f695a6b2a89999ad176","64.0","52.18961715698242","96.9"
"bowtie2_audit_nf","ALIGN_CHUNK","2effa41bd8c8ccf223c700bec79c6cc0","62.9","53.58329391479492","97.2"
"bowtie2_audit_nf","ALIGN_CHUNK","2f30267982256a32ff2c25f7786b8e44","63.8","52.550686836242676","94.4"
"bowtie2_audit_nf","ALIGN_CHUNK","2f7db25bec2030a661674fddec00dbee","63.1","51.671847343444824","94.3"
"bowtie2_audit_nf","ALIGN_CHUNK","2f8870912c3f46e7138245967c24c683","61.8","51.772294998168945","93.3"
"bowtie2_audit_nf","ALIGN_CHUNK","2fc2da9f7c120e9c8944d6d610ba7add","63.2","53.42947196960449","95.1"
"bowtie2_audit_nf","ALIGN_CHUNK","2fea1a63e5cea915342410e79bc0a4d8","63.0","54.26707077026367","94.1"
"bowtie2_audit_nf","ALIGN_CHUNK","2ff365bfbb64134af80aac67d2ec7f06","62.7","51.284088134765625","96.4"
"bowtie2_audit_nf","ALIGN_CHUNK","305325c237f898cf6608a840e69db1b9","64.2","54.87069225311279","95.8"
"bowtie2_audit_nf","ALIGN_CHUNK","30891d52dba4dc68458bdb5586647076","63.0","53.8602294921875","94.4"
"bowtie2_audit_nf","ALIGN_CHUNK","30bda6fb0d464979790e4ad5e6d1cf54","62.5","51.88325119018555","94.9"
"bowtie2_audit_nf","ALIGN_CHUNK","30eafd6497d404b1066aed70f911f961","35.6","38.30708312988281","70.1"
"bowtie2_audit_nf","ALIGN_CHUNK","31296fc2a0b85c6a5c03393c87041bba","63.0","51.59852600097656","97.1"
