process,task_hash,c_bytes
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,eef195b8,16514979
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAMTOOLS_FILTER,3b872ad7,21590955
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAMTOOLS_FILTER,ef6f9e3e,25387851
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAMTOOLS_FILTER,4f71adaa,21040887
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-SAMTOOLS_SORT,219aed5c,18139491
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAMTOOLS_FILTER,16e7b288,21749224
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-SAMTOOLS_SORT,93137ab5,16181143
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-SAMTOOLS_SORT,39630edc,23213869
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_REMOVE_ORPHANS,47578d83,26803037
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_REMOVE_ORPHANS,d2e2f6b7,28465467
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-SAMTOOLS_SORT,8e9ccd6f,17823178
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_REMOVE_ORPHANS,a19130cd,32419935
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_REMOVE_ORPHANS,014b3428,28581237
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-SAMTOOLS_INDEX,d31b5acb,16466749
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-PICARD_MARKDUPLICATES,7bde43ec,82581158
NFCORE_CHIPSEQ-CHIPSEQ-PHANTOMPEAKQUALTOOLS,3e760d4b,17610500
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,8d7947eb,17713456
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAMTOOLS_FILTER,975898bf,20523270
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,b940567e,18173612
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,081963df,7268266
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,6e06d834,8257069
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,af85937e,18802888
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,1382839d,16436701
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,d009d7f7,19945368
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,50a5e7e9,8351501
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,4ade850d,7919256
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,4cd6a715,16938598
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,6eab7c25,17593447
NFCORE_CHIPSEQ-CHIPSEQ-PICARD_COLLECTMULTIPLEMETRICS,0eee1d0e,126206718
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,f1a16208,7051170
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_IDXSTATS,8b69621b,8286638
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,202d38ed,19057700
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,7d054c89,16682715
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,62de0e75,17447641
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,34ca408a,17481790
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,e2fc5c4f,16156609
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,803d0e8c,12191715
NFCORE_CHIPSEQ-CHIPSEQ-MULTIQC_CUSTOM_PHANTOMPEAKQUALTOOLS,40ef948a,14973981
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-SAMTOOLS_SORT,d3d1bc2c,15368763
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_STATS,6e93c0e1,18949182
NFCORE_CHIPSEQ-CHIPSEQ-BAM_MARKDUPLICATES_PICARD-BAM_STATS_SAMTOOLS-SAMTOOLS_FLAGSTAT,d50fc2aa,16774563
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,0b552ca9,24179805
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_SORT,155aede1,19962949
NFCORE_CHIPSEQ-CHIPSEQ-PICARD_COLLECTMULTIPLEMETRICS,e62ed0bf,125348564
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,3524f442,14372963
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_REMOVE_ORPHANS,b8fc6663,24583571
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,6bf28d76,16135472
NFCORE_CHIPSEQ-CHIPSEQ-BAM_FILTER_BAMTOOLS-BAM_SORT_STATS_SAMTOOLS-SAMTOOLS_INDEX,245dd3ec,14032048
NFCORE_CHIPSEQ-CHIPSEQ-PHANTOMPEAKQUALTOOLS,88897e84,16603331
NFCORE_CHIPSEQ-CHIPSEQ-PHANTOMPEAKQUALTOOLS,74f91fe1,19901758
NFCORE_CHIPSEQ-CHIPSEQ-PHANTOMPEAKQUALTOOLS,e1f82aaa,18564247
